timestamp_entry,timestamp_exit,pair,side,entry_price,exit_price,qty,pnl_usd,return_pct,holding_period,status
2026-05-22 15:00:00,2026-05-23 00:00:00,BTCUSDT,short,76752.00000000,75513.80000000,0.15987647,+183.35,+1.61%,9h 0m,closed
2026-05-24 10:00:00,2026-05-24 15:00:00,SOLUSDT,long,86.50600000,85.21000000,73.36081817,-102.63,-1.50%,5h 0m,closed
2026-05-27 13:00:00,2026-05-27 18:00:00,ETHUSDT,short,2077.88000000,2051.21000000,3.87570870,+93.76,+1.28%,5h 0m,closed
2026-05-27 14:00:00,2026-05-27 18:00:00,BTCUSDT,short,75055.90000000,74828.20000000,0.12933276,+17.82,+0.30%,4h 0m,closed
2026-05-27 22:00:00,2026-05-28 04:00:00,SOLUSDT,short,82.43600000,80.66500000,67.97296627,+113.73,+2.15%,6h 0m,closed
2026-05-29 14:00:00,2026-05-29 15:00:00,SOLUSDT,short,81.39700000,81.29200000,85.10139245,+0.63,+0.13%,1h 0m,closed
2026-06-01 00:00:00,2026-06-01 05:00:00,BTCUSDT,short,73785.70000000,73457.80000000,0.18616897,+44.60,+0.44%,5h 0m,closed
2026-06-01 02:00:00,2026-06-01 06:00:00,SOLUSDT,short,81.99100000,81.79100000,88.10029673,+8.96,+0.24%,4h 0m,closed
2026-06-01 17:00:00,2026-06-01 18:00:00,ETHUSDT,short,1964.02000000,1986.68000000,3.21150062,-80.39,-1.15%,1h 0m,closed
2026-06-01 22:00:00,2026-06-02 05:00:00,SOLUSDT,short,80.64300000,80.84200000,67.23310863,-19.89,-0.25%,7h 0m,closed
2026-06-02 16:00:00,2026-06-03 04:00:00,ETHUSDT,short,1919.85000000,1838.19000000,2.27340323,+180.52,+4.25%,12h 0m,closed
2026-06-09 16:00:00,2026-06-10 14:00:00,BTCUSDT,short,61309.50000000,62178.40000000,0.09191407,-86.67,-1.42%,22h 0m,closed
2026-06-10 16:00:00,2026-06-10 21:00:00,BTCUSDT,short,61902.10000000,61730.10000000,0.08561653,+8.38,+0.28%,5h 0m,closed
2026-06-19 15:00:00,2026-06-19 20:00:00,BTCUSDT,short,63056.70000000,63077.80000000,0.11677055,-11.30,-0.03%,5h 0m,closed
